📺央视频道,#genre#
湖北卫视HD,http://58.48.135.97:8288/rtp/239.254.96.115:8664
湖北影视HD,http://27.18.35.149:6868/rtp/239.69.1.204:10866
湖北综合HD,http://27.18.35.149:6868/rtp/239.69.1.42:9892
欢笑剧场4K,http://171.83.2.139:1234/rtp/239.69.2.5:11184
吉林卫视HD,http://171.83.2.139:1234/rtp/239.69.1.212:10914
江苏卫视4K,http://27.19.67.44:8888/rtp/239.69.2.36:11370
江苏卫视HD,http://27.18.35.149:6868/rtp/239.254.96.144:8938
江西卫视HD,http://27.18.35.149:6868/rtp/239.69.1.126:10394
金色学堂HD,http://27.18.35.149:6868/rtp/239.69.2.13:11232
金鹰纪实HD,http://27.18.35.149:6868/rtp/239.69.1.109:10292
九屏导视HD,http://27.18.35.149:6868/rtp/239.69.1.156:10572
快乐垂钓HD,http://27.19.67.44:8888/rtp/239.69.1.142:10488
乐游HD,http://27.19.67.44:8888/rtp/239.69.2.12:11226
梨园频道HD,http://27.19.67.44:8888/rtp/239.69.1.33:9838
辽宁卫视HD,http://58.48.135.97:8288/rtp/239.69.1.71:10066
旅游卫视HD,http://27.19.67.44:8888/rtp/239.69.1.151:10542
宁夏卫视HD,http://27.19.67.44:8888/rtp/239.69.2.33:11352
青海卫视HD,http://58.48.135.97:8288/rtp/239.69.2.24:11298
山东卫视4K,http://27.18.35.149:6868/rtp/239.69.2.38:11382
山东卫视HD,http://58.48.135.97:8288/rtp/239.69.1.69:10054
深圳卫视4K,http://27.19.67.44:8888/rtp/239.69.2.28:11322
深圳卫视HD,http://27.19.67.44:8888/rtp/239.254.96.137:8896
生活时尚HD,http://27.18.35.149:6868/rtp/239.69.2.11:11220
四海钓鱼HD,http://27.18.35.149:6868/rtp/239.69.1.244:11106
天津卫视HD,http://27.19.67.44:8888/rtp/239.69.1.68:10048
文物宝库HD,http://171.83.2.139:1234/rtp/239.69.1.46:9916
武汉电视剧HD,http://27.18.35.149:6868/rtp/239.69.1.146:10512
武汉教育HD,http://27.18.35.149:6868/rtp/239.69.1.60:9994
武汉科技生活HD,http://27.18.35.149:6868/rtp/239.69.1.251:11148
武汉综合HD,http://27.18.35.149:6868/rtp/239.69.1.145:10506
西藏卫视HD,http://58.48.135.97:8288/rtp/239.69.2.31:11340
新疆卫视HD,http://58.48.135.97:8288/rtp/239.69.2.30:11334
阳新综合HD,http://171.113.177.141:8686/rtp/239.69.1.34:9844
云南卫视HD,http://27.18.35.149:6868/rtp/239.69.2.25:11304
浙江卫视4K,http://119.98.123.82:8888/rtp/239.69.1.25:9790
浙江卫视HD,http://27.18.35.149:6868/rtp/239.254.96.143:8932
重庆卫视HD,http://27.18.35.149:6868/rtp/239.69.1.149:10530
